hour_bucket,total_events,fraud_count,suspicious_count,avg_risk_score,max_risk_score,avg_volume_spike,total_volume,active_traders,active_symbols,fraud_rate_pct,hour_of_day,day_of_week,hour_label
2026-08-29 06:00:00,82,7,23,0.1851,0.8489,10.25,3705760.06,74,5,8.54,6,6,2026-08-29 06:29
2026-08-29 05:00:00,48,1,15,0.2472,0.9702,7.67,8424783.43,56,5,2.08,5,6,2026-08-29 05:29
2026-08-29 04:00:00,80,2,18,0.1822,0.8152,3.11,3840321.89,52,6,2.5,4,6,2026-08-29 04:29
2026-08-29 03:00:00,57,9,19,0.1431,0.9348,4.87,1616073.64,79,5,15.79,3,6,2026-08-29 03:29
2026-08-29 02:00:00,53,8,15,0.1358,0.8409,2.07,2239427.43,69,10,15.09,2,6,2026-08-29 02:29
2026-08-29 01:00:00,55,1,10,0.1698,0.8674,5.92,847360.48,36,7,1.82,1,6,2026-08-29 01:29
2026-08-29 00:00:00,75,7,26,0.1958,0.9078,5.16,3301132.34,24,6,9.33,0,6,2026-08-29 00:29
2026-08-28 23:00:00,59,5,38,0.1358,0.9288,2.03,1003129.94,16,10,8.47,23,5,2026-08-28 23:29
2026-08-28 22:00:00,75,5,20,0.2163,0.9781,10.09,3904742.83,60,6,6.67,22,5,2026-08-28 22:29
2026-08-28 21:00:00,85,6,22,0.1858,0.8611,1.61,2180038.71,55,6,7.06,21,5,2026-08-28 21:29
2026-08-28 20:00:00,117,8,11,0.2375,0.8026,6.72,8079790.37,41,7,6.84,20,5,2026-08-28 20:29
2026-08-28 19:00:00,267,20,30,0.1339,0.8908,8.76,6462845.32,60,9,7.49,19,5,2026-08-28 19:29
2026-08-28 18:00:00,274,29,39,0.143,0.9419,6.73,5832838.14,42,9,10.58,18,5,2026-08-28 18:29
2026-08-28 17:00:00,97,27,33,0.1394,0.9242,3.66,5256549.64,72,8,27.84,17,5,2026-08-28 17:29
2026-08-28 16:00:00,260,9,33,0.1514,0.8967,4.17,1852290.77,37,6,3.46,16,5,2026-08-28 16:29
2026-08-28 15:00:00,203,32,11,0.2457,0.8459,7.87,5091226.35,35,6,15.76,15,5,2026-08-28 15:29
2026-08-28 14:00:00,247,25,28,0.2001,0.9721,6.35,1042790.26,71,6,10.12,14,5,2026-08-28 14:29
2026-08-28 13:00:00,142,26,38,0.1733,0.9134,4.63,6691164.2,47,10,18.31,13,5,2026-08-28 13:29
2026-08-28 12:00:00,253,32,30,0.2016,0.9692,6.66,8236577.6,39,5,12.65,12,5,2026-08-28 12:29
2026-08-28 11:00:00,292,23,21,0.1611,0.8548,6.23,3417981.44,61,6,7.88,11,5,2026-08-28 11:29
2026-08-28 10:00:00,298,13,19,0.1099,0.9095,4.76,1267185.16,75,8,4.36,10,5,2026-08-28 10:29
2026-08-28 09:00:00,134,21,35,0.1816,0.9078,8.35,3392559.44,26,9,15.67,9,5,2026-08-28 09:29
2026-08-28 08:00:00,139,30,38,0.1754,0.8052,8.8,2074064.49,64,9,21.58,8,5,2026-08-28 08:29
2026-08-28 07:00:00,30,7,28,0.2441,0.8521,8.28,3034840.69,77,10,23.33,7,5,2026-08-28 07:29
2026-08-28 06:00:00,74,2,27,0.0893,0.801,1.55,1523536.38,19,6,2.7,6,5,2026-08-28 06:29
2026-08-28 05:00:00,83,9,16,0.2155,0.9593,7.98,3631081.0,48,10,10.84,5,5,2026-08-28 05:29
2026-08-28 04:00:00,90,5,31,0.2063,0.9713,6.69,4728595.44,15,10,5.56,4,5,2026-08-28 04:29
2026-08-28 03:00:00,82,5,34,0.0892,0.8002,6.02,1088895.15,67,10,6.1,3,5,2026-08-28 03:29
2026-08-28 02:00:00,98,6,8,0.2021,0.8462,10.19,3552333.21,49,5,6.12,2,5,2026-08-28 02:29
2026-08-28 01:00:00,66,1,9,0.2477,0.9862,4.2,4361629.19,50,8,1.52,1,5,2026-08-28 01:29
2026-08-28 00:00:00,37,2,24,0.1819,0.8477,6.82,7697542.01,67,5,5.41,0,5,2026-08-28 00:29
2026-08-27 23:00:00,72,3,16,0.1011,0.8316,6.95,1321555.12,28,9,4.17,23,4,2026-08-27 23:29
2026-08-27 22:00:00,81,3,36,0.2375,0.9254,2.88,1182372.6,44,6,3.7,22,4,2026-08-27 22:29
2026-08-27 21:00:00,36,9,39,0.1449,0.8619,5.85,2833504.73,77,10,25.0,21,4,2026-08-27 21:29
2026-08-27 20:00:00,315,14,15,0.1428,0.8816,2.19,3562598.61,35,10,4.44,20,4,2026-08-27 20:29
2026-08-27 19:00:00,293,9,38,0.1491,0.8324,1.12,2686746.43,52,5,3.07,19,4,2026-08-27 19:29
2026-08-27 18:00:00,94,16,20,0.2177,0.9367,10.0,3916123.34,15,9,17.02,18,4,2026-08-27 18:29
2026-08-27 17:00:00,102,24,33,0.1316,0.9007,8.57,4194501.88,29,9,23.53,17,4,2026-08-27 17:29
2026-08-27 16:00:00,134,18,39,0.0996,0.9816,8.69,7211148.15,40,9,13.43,16,4,2026-08-27 16:29
2026-08-27 15:00:00,291,11,38,0.2086,0.9417,3.58,1948955.1,56,10,3.78,15,4,2026-08-27 15:29
2026-08-27 14:00:00,158,16,23,0.1775,0.959,8.31,5909204.21,17,6,10.13,14,4,2026-08-27 14:29
2026-08-27 13:00:00,228,19,17,0.1199,0.8019,4.22,2548930.14,36,9,8.33,13,4,2026-08-27 13:29
2026-08-27 12:00:00,217,30,9,0.126,0.8085,7.09,5045516.47,25,7,13.82,12,4,2026-08-27 12:29
2026-08-27 11:00:00,185,9,37,0.1793,0.929,6.05,6952265.98,77,8,4.86,11,4,2026-08-27 11:29
2026-08-27 10:00:00,295,22,20,0.1973,0.8437,7.19,3693245.04,56,5,7.46,10,4,2026-08-27 10:29
2026-08-27 09:00:00,150,33,26,0.1294,0.9896,4.01,4170753.49,71,10,22.0,9,4,2026-08-27 09:29
2026-08-27 08:00:00,284,18,17,0.1566,0.9265,2.24,3878802.95,16,6,6.34,8,4,2026-08-27 08:29
2026-08-27 07:00:00,62,7,26,0.1196,0.9352,2.48,3876154.1,23,7,11.29,7,4,2026-08-27 07:29
2026-08-27 06:00:00,79,3,32,0.0961,0.9619,7.88,3214356.71,37,9,3.8,6,4,2026-08-27 06:29
2026-08-27 05:00:00,54,7,17,0.1749,0.9396,10.49,5128417.99,54,10,12.96,5,4,2026-08-27 05:29
2026-08-27 04:00:00,86,2,31,0.2255,0.9814,2.83,1823677.09,79,8,2.33,4,4,2026-08-27 04:29
2026-08-27 03:00:00,54,5,13,0.2157,0.977,4.97,6243461.16,52,8,9.26,3,4,2026-08-27 03:29
2026-08-27 02:00:00,43,5,25,0.0837,0.8957,6.18,6383562.69,27,8,11.63,2,4,2026-08-27 02:29
2026-08-27 01:00:00,88,4,12,0.0996,0.9849,9.76,3100745.3,15,7,4.55,1,4,2026-08-27 01:29
2026-08-27 00:00:00,48,8,21,0.1973,0.8678,1.64,3722360.74,79,6,16.67,0,4,2026-08-27 00:29
2026-08-26 23:00:00,74,3,17,0.192,0.9001,3.57,4930899.85,25,5,4.05,23,3,2026-08-26 23:29
2026-08-26 22:00:00,64,4,33,0.2425,0.8248,9.4,6138375.51,65,9,6.25,22,3,2026-08-26 22:29
2026-08-26 21:00:00,36,4,19,0.081,0.9866,6.76,3718628.99,37,8,11.11,21,3,2026-08-26 21:29
2026-08-26 20:00:00,210,6,9,0.1095,0.9184,5.89,6796598.58,76,8,2.86,20,3,2026-08-26 20:29
2026-08-26 19:00:00,314,23,25,0.0916,0.9313,7.8,2701308.4,67,6,7.32,19,3,2026-08-26 19:29
2026-08-26 18:00:00,126,12,14,0.1137,0.8995,2.29,5774286.89,60,5,9.52,18,3,2026-08-26 18:29
2026-08-26 17:00:00,256,5,15,0.1126,0.9878,3.88,2276512.69,35,9,1.95,17,3,2026-08-26 17:29
2026-08-26 16:00:00,127,24,19,0.183,0.9486,4.46,5507767.84,68,7,18.9,16,3,2026-08-26 16:29
2026-08-26 15:00:00,169,30,38,0.1293,0.9337,8.79,4223525.25,51,9,17.75,15,3,2026-08-26 15:29
2026-08-26 14:00:00,316,9,36,0.1135,0.9495,6.71,4778490.38,48,8,2.85,14,3,2026-08-26 14:29
2026-08-26 13:00:00,150,30,19,0.1714,0.8093,5.26,7764332.5,54,10,20.0,13,3,2026-08-26 13:29
2026-08-26 12:00:00,250,15,9,0.2303,0.9571,6.19,679243.72,64,8,6.0,12,3,2026-08-26 12:29
2026-08-26 11:00:00,116,6,39,0.1869,0.9735,4.4,7380190.26,35,8,5.17,11,3,2026-08-26 11:29
2026-08-26 10:00:00,300,15,8,0.1207,0.9349,8.19,3639334.8,38,8,5.0,10,3,2026-08-26 10:29
2026-08-26 09:00:00,208,23,23,0.2022,0.8163,2.5,1561817.18,63,5,11.06,9,3,2026-08-26 09:29
2026-08-26 08:00:00,303,10,37,0.2156,0.8222,6.46,1997845.01,27,7,3.3,8,3,2026-08-26 08:29
2026-08-26 07:00:00,44,3,12,0.1046,0.9228,10.35,5996436.67,68,5,6.82,7,3,2026-08-26 07:29
2026-08-26 06:00:00,35,6,37,0.1893,0.8867,7.27,7532354.64,75,7,17.14,6,3,2026-08-26 06:29
2026-08-26 05:00:00,53,5,33,0.0923,0.9495,2.2,3656560.08,44,6,9.43,5,3,2026-08-26 05:29
2026-08-26 04:00:00,57,6,16,0.1484,0.9174,3.96,1880095.5,69,10,10.53,4,3,2026-08-26 04:29
2026-08-26 03:00:00,31,9,8,0.1356,0.809,1.35,3643055.97,44,10,29.03,3,3,2026-08-26 03:29
2026-08-26 02:00:00,95,8,31,0.1394,0.9839,5.07,2714341.95,56,7,8.42,2,3,2026-08-26 02:29
2026-08-26 01:00:00,71,2,10,0.1414,0.925,4.7,7713851.34,72,6,2.82,1,3,2026-08-26 01:29
2026-08-26 00:00:00,74,9,23,0.1025,0.9714,6.19,2780423.78,56,10,12.16,0,3,2026-08-26 00:29
2026-08-25 23:00:00,46,1,19,0.1713,0.8646,5.53,2614530.02,35,6,2.17,23,2,2026-08-25 23:29
2026-08-25 22:00:00,39,1,9,0.1068,0.9811,6.47,4411681.0,72,7,2.56,22,2,2026-08-25 22:29
2026-08-25 21:00:00,87,7,16,0.1269,0.9246,5.55,6660740.31,24,9,8.05,21,2,2026-08-25 21:29
2026-08-25 20:00:00,295,15,34,0.1113,0.8174,2.61,6768245.53,43,10,5.08,20,2,2026-08-25 20:29
2026-08-25 19:00:00,297,32,23,0.2229,0.9019,8.82,4886918.74,34,8,10.77,19,2,2026-08-25 19:29
2026-08-25 18:00:00,115,6,10,0.2427,0.8809,4.33,3350424.68,55,7,5.22,18,2,2026-08-25 18:29
2026-08-25 17:00:00,231,33,14,0.1002,0.95,6.22,1528294.06,19,7,14.29,17,2,2026-08-25 17:29
2026-08-25 16:00:00,88,19,15,0.1243,0.8027,3.05,6406551.5,72,10,21.59,16,2,2026-08-25 16:29
2026-08-25 15:00:00,309,31,22,0.1343,0.99,8.31,4798816.65,40,7,10.03,15,2,2026-08-25 15:29
2026-08-25 14:00:00,141,10,18,0.1676,0.903,1.13,8175200.68,63,8,7.09,14,2,2026-08-25 14:29
2026-08-25 13:00:00,297,22,24,0.21,0.9401,1.9,5259954.98,28,8,7.41,13,2,2026-08-25 13:29
2026-08-25 12:00:00,237,16,34,0.115,0.9668,5.38,1272188.95,24,5,6.75,12,2,2026-08-25 12:29
2026-08-25 11:00:00,207,10,12,0.1644,0.9423,2.77,8441214.36,33,8,4.83,11,2,2026-08-25 11:29
2026-08-25 10:00:00,118,14,27,0.2379,0.9582,7.15,6223943.97,56,5,11.86,10,2,2026-08-25 10:29
2026-08-25 09:00:00,291,5,21,0.0952,0.868,3.13,7830773.78,43,7,1.72,9,2,2026-08-25 09:29
2026-08-25 08:00:00,291,27,34,0.2014,0.8293,1.46,5731102.86,64,8,9.28,8,2,2026-08-25 08:29
2026-08-25 07:00:00,55,4,27,0.1632,0.8456,3.98,3847116.44,45,5,7.27,7,2,2026-08-25 07:29
2026-08-25 06:00:00,72,7,38,0.1715,0.9389,8.67,1408064.97,38,8,9.72,6,2,2026-08-25 06:29
2026-08-25 05:00:00,68,5,13,0.0865,0.9722,10.05,527855.39,52,9,7.35,5,2,2026-08-25 05:29
2026-08-25 04:00:00,44,1,13,0.2128,0.9136,2.68,7011767.64,38,7,2.27,4,2,2026-08-25 04:29
2026-08-25 03:00:00,87,5,20,0.1686,0.8912,3.61,3896448.3,40,7,5.75,3,2,2026-08-25 03:29
2026-08-25 02:00:00,93,5,24,0.2358,0.9045,8.3,2848730.48,18,9,5.38,2,2,2026-08-25 02:29
2026-08-25 01:00:00,57,3,35,0.1073,0.8041,10.0,8499816.16,16,6,5.26,1,2,2026-08-25 01:29
2026-08-25 00:00:00,83,1,11,0.2328,0.9413,4.16,4518223.29,50,8,1.2,0,2,2026-08-25 00:29
2026-08-24 23:00:00,62,1,10,0.2045,0.8358,5.22,4760241.03,47,8,1.61,23,1,2026-08-24 23:29
2026-08-24 22:00:00,81,4,38,0.2242,0.9181,6.54,5325493.54,60,8,4.94,22,1,2026-08-24 22:29
2026-08-24 21:00:00,51,1,29,0.2018,0.8974,9.27,5879494.42,60,10,1.96,21,1,2026-08-24 21:29
2026-08-24 20:00:00,167,23,8,0.0901,0.8668,5.39,1834968.96,33,6,13.77,20,1,2026-08-24 20:29
2026-08-24 19:00:00,109,11,26,0.2111,0.8728,2.64,1387267.08,65,9,10.09,19,1,2026-08-24 19:29
2026-08-24 18:00:00,100,11,20,0.0877,0.8634,10.13,4560036.92,36,9,11.0,18,1,2026-08-24 18:29
2026-08-24 17:00:00,105,8,14,0.2409,0.8729,7.16,8309014.23,32,7,7.62,17,1,2026-08-24 17:29
2026-08-24 16:00:00,212,32,17,0.1704,0.8104,2.07,557368.84,35,10,15.09,16,1,2026-08-24 16:29
2026-08-24 15:00:00,216,25,29,0.1176,0.9298,9.74,2893112.73,34,8,11.57,15,1,2026-08-24 15:29
2026-08-24 14:00:00,157,23,35,0.2319,0.9737,3.78,1462500.54,18,7,14.65,14,1,2026-08-24 14:29
2026-08-24 13:00:00,100,13,39,0.0862,0.9204,9.61,8313362.93,72,5,13.0,13,1,2026-08-24 13:29
2026-08-24 12:00:00,236,8,38,0.0929,0.8683,1.08,8349470.18,49,10,3.39,12,1,2026-08-24 12:29
2026-08-24 11:00:00,237,5,30,0.1424,0.8491,9.05,1783875.23,16,10,2.11,11,1,2026-08-24 11:29
2026-08-24 10:00:00,269,17,25,0.1442,0.8277,10.48,5443888.97,35,7,6.32,10,1,2026-08-24 10:29
2026-08-24 09:00:00,89,16,27,0.2196,0.9541,6.85,7603652.66,73,8,17.98,9,1,2026-08-24 09:29
2026-08-24 08:00:00,151,20,30,0.1488,0.914,10.48,8376198.25,17,8,13.25,8,1,2026-08-24 08:29
2026-08-24 07:00:00,59,6,21,0.2476,0.9479,1.62,3081117.87,73,9,10.17,7,1,2026-08-24 07:29
2026-08-24 06:00:00,92,4,32,0.2062,0.9269,4.95,3725930.56,71,9,4.35,6,1,2026-08-24 06:29
2026-08-24 05:00:00,53,3,24,0.2035,0.9605,4.04,6435114.13,59,7,5.66,5,1,2026-08-24 05:29
2026-08-24 04:00:00,37,7,12,0.1509,0.8105,10.0,7715166.48,77,5,18.92,4,1,2026-08-24 04:29
2026-08-24 03:00:00,56,8,23,0.1993,0.9685,6.48,1430616.8,48,9,14.29,3,1,2026-08-24 03:29
2026-08-24 02:00:00,30,7,23,0.2414,0.9088,4.54,747376.14,61,10,23.33,2,1,2026-08-24 02:29
2026-08-24 01:00:00,33,3,27,0.198,0.8482,1.61,3580003.03,60,10,9.09,1,1,2026-08-24 01:29
2026-08-24 00:00:00,52,9,30,0.2194,0.8423,6.02,824866.78,45,6,17.31,0,1,2026-08-24 00:29
